User Name,Rating,Comment,Date
Angga Subagja,1,Gak jelas ni aplikasi tiba2 logout..pas mau login kembali pake tiktok malah jadi suruh bikin toko baru...lah toko saya yg lama kemana ? Parah asli...,2026-01-28 20:27:40
Ryan Domasig,5,Nice,2026-01-28 11:28:02
gerald cue,1,why i cqnnot receive any code to register i tried several times to register,2026-01-28 07:39:03
Muz Latif,1,bad app,2026-01-28 02:31:08
Yulia Boen,1,"So difficult to contact the customer service, especially for the sellers who are not with the apps.",2026-01-28 01:58:52
Rianto BP,1,"aplikasi sampah, tolong diperbaiki!!!! hal yang perlu diperbaiki: dibuat senyaman mungkin User Interface nya seperti Tokopedia Seller yang sebelumnya. Notifikasi chat pembeli dan pesanan suka tidak muncul!. Fungsi Filternya TIDAK JELAS! terlalu banyak opsi dan pilihan",2026-01-28 00:46:58
Karep Sembarang,4,"kenapa barang dagangan saya sudah sampai dan dibayar oleh pembeli dari seminggu yang lalu, lalu saya bingung cara menarik dana nya, apa belum masuk?, tapi di bagian keuangan tertulis dana masuk setelah 5 hari kerja, jadi bagaimana ini?",2026-01-28 00:40:42
LyPhi,1,"Incomparable with the former sleek and fast Tokopedia Seller app. This one is buggy, slow and confusing mess at best, I can't even see my older past customers reviews no matter what filters i use. The integration with tiktok shop is absolutely unnecessary when it can be done separately and executed better. Last... tokopedia doesn't even provide store previews/quick settings via their main ""Tokopedia"" app anymore i suppose an attempt to boost this incoherent mess of an app.",2026-01-27 19:29:44
Unique Fashionworld,5,good,2026-01-27 12:08:45
Skitkekt,1,"Live Agent support, ga bisa membantu apa-apa dan ga pernah bisa menyelesaikan solusi SAYA HARUS TAMBAHIN LAGI, ORDER TAB YANG BARU SAYA DAPAT UNTUK PERTAMA KALINYA HILANG! SAYA GA PENCET CANCEL, TIBA-TIBA HILANG DI ORDER PAGE MAU BANTU PENJUAL ATAU SABOTASE?",2026-01-27 12:07:43
Iwan Sutedja,1,"Notifikasi chat & pesanan tidak muncul di HP, pemecahan masalah sangat lama!",2026-01-27 08:35:11
Kurniawan Siong,1,"aplikasi ribet,mendingan balikin app toped seller yang lama. potongan gede, dana ditahan lama, customer uda klik selesai pun bisa 1-2 hari lagi baru cair. tujuannya apa sih nahan nahan dana seller ?? jgn pake akun-akun palsu buat bikin bintang 5 bilang kalo apps ini bagus, dengarkan kritik para seller dan perbaiki !",2026-01-27 05:46:22
Celine Gracelia,1,ke log out terus ga bisa masuk lagi :'') udah dua hari ini,2026-01-27 03:46:24
Joko Widodo,1,tidak bisa print resi,2026-01-27 02:50:38
Jonas Store Semarang,1,error dak bisa login seharian. bikin susah,2026-01-27 01:02:32
Juniardi Giugno,1,boooooooooo,2026-01-26 13:04:34
Abby Manta,2,lebih simple pake tokopedia seller,2026-01-26 12:35:30
Rene Moreno,5,good,2026-01-26 10:33:35
popeye olives,1,pencairan dana buruk sekali... selalu di pending dari waktu yang di tetapkan.. berhari2 baru cair,2026-01-26 08:39:49
zilal,2,"ribet, bertele-tele, admin gede",2026-01-26 08:20:45
christian hadinata,1,terlogout sendiri dengan konstan untuk updet terbaru. cetak label mesti keluar masuk apps berulang-ulang. yang paling parah telepon-telepon spam hampir tiap hari,2026-01-26 05:37:11
